CNTSCHID,CNTSTUID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250D06JA,ST250D07JA,PV1MATH,PV1READ,PV1SCIE
76400007,76407385,10,12,2006,2,7640002,7640002,310.951,333.769,338.325
76400007,76407747,10,3,2007,1,7640001,7640002,387.821,455.385,424.453
76400007,76408513,10,7,2006,1,7640001,7640002,418.343,335.794,450.101
76400007,76408605,10,9,2006,1,7640001,7640001,566.785,552.969,550.543
76400007,76408649,10,7,2006,1,7640001,7640002,467.542,453.392,504.793
76400007,76408748,10,8,2006,1,7640001,7640001,420.133,436.388,495.888
76400007,76409040,10,3,2007,1,7640001,7640002,626.78,553.183,517.095
76400008,76400435,8,10,2006,2,7640001,7640001,420.552,386.416,451.791
76400008,76400578,9,5,2007,2,7640001,7640001,302.75,264.698,356.975
76400008,76400726,9,4,2007,2,7640001,7640002,306.563,233.586,287.59
76400008,76401061,9,3,2007,1,7640002,7640001,370.62,364.572,386.635
76400008,76401441,9,5,2007,2,7640002,7640002,311.512,274.185,315.728
76400008,76402304,9,7,2006,1,7640001,7640001,375.041,381.073,430.359
76400008,76402476,9,3,2007,1,7640001,7640002,368.953,340.304,345.34
76400008,76402610,9,2,2007,2,7640001,7640002,378.394,320.767,379.578
76400008,76402732,9,4,2007,2,7640001,7640002,341.56,298.283,399.356
76400008,76402863,9,2,2007,2,7640002,7640002,296.75,285.745,326.936
76400008,76402866,8,1,2007,2,7640001,7640002,313.286,263.901,369.119
76400008,76403027,9,2,2007,2,7640001,7640002,315.835,330.124,348.748
76400008,76403978,9,5,2007,2,7640001,7640002,297.777,280.009,358.233
76400008,76404082,9,5,2007,1,7640002,7640002,310.017,322.525,354.238
76400008,76404345,8,2,2007,1,7640001,7640002,357.648,368.249,452.062
76400008,76404367,9,7,2006,2,7640002,7640001,311.577,272.117,337.509
76400008,76404897,9,2,2007,1,7640001,7640002,360.429,361.475,343.836
76400008,76405515,9,8,2006,1,7640002,7640002,286.299,287.29,388.498
76400008,76406234,9,1,2007,1,7640001,7640002,375.828,352.156,385.276
76400008,76406576,9,5,2007,2,7640001,7640001,404.804,391.64,397.425
76400008,76406650,8,5,2007,2,7640001,7640002,331.278,334.751,439.731
76400008,76407223,9,3,2007,2,7640001,7640002,372.489,335.454,403.907
76400008,76408042,9,5,2007,2,7640002,7640002,398.503,266.371,337.156
76400008,76408069,9,10,2006,1,7640001,7640002,431.046,476.918,430.571
76400008,76408537,9,3,2007,2,7640001,7640002,409.54,317.369,409.081
76400008,76408824,8,5,2007,2,7640001,7640002,332.553,360.64,338.652
76400008,76408869,9,4,2007,1,7640001,7640001,344.917,347.615,386.463
76400009,76400153,10,2,2007,1,7640001,7640001,423.981,360.086,386.887
76400009,76400212,10,9,2006,2,7640001,7640002,281.795,311.708,298.301
76400009,76400223,10,9,2006,2,7640002,7640002,414.485,458.725,454.064
76400009,76400233,10,2,2007,2,7640001,7640002,480.567,358.148,469.184
76400009,76400368,10,4,2007,1,7640001,7640002,369.127,342.754,465.677
76400009,76401134,10,9,2006,2,7640002,7640002,364.215,374.855,459.384
76400009,76401399,10,9,2006,1,7640001,7640002,395.662,471.41,430.53
76400009,76401499,10,1,2007,1,7640001,7640001,366.047,371.394,377.139
76400009,76401914,10,5,2007,2,7640001,7640001,319.231,323.744,399.069
76400009,76402131,10,11,2006,2,7640001,7640002,272.727,248.286,369.807
76400009,76402215,10,10,2006,1,7640002,7640002,400.49,463.953,393.333
76400009,76402591,10,9,2006,2,7640002,7640001,305.375,383.623,429.063
76400009,76402860,10,11,2006,1,7640001,7640002,416.255,471.717,484.858
76400009,76402876,10,9,2006,1,7640001,7640002,375.717,381.417,458.861
76400009,76402914,10,4,2007,1,7640002,7640002,389.743,383.651,379.938
76400009,76403170,10,10,2006,1,7640002,7640002,390.899,362.351,461.338
76400009,76403285,10,2,2007,2,7640001,7640001,363.322,315.405,344.853
76400009,76403420,9,5,2007,1,7640001,7640002,424.095,378.207,478.026
76400009,76403524,10,6,2006,1,7640001,7640002,476.419,475.25,433.438
76400009,76403798,11,7,2006,1,7640001,7640002,372.517,411.356,402.079
76400009,76403910,10,7,2006,1,7640002,7640001,403.746,442.451,480.728
76400009,76403997,9,4,2007,2,7640001,7640002,318.924,330.246,331.25
76400009,76404093,10,10,2006,2,7640001,7640002,422.933,442.625,436.969
76400009,76404439,10,11,2006,1,7640002,7640002,326.394,339.571,323.346
76400009,76404578,10,1,2007,1,7640001,7640002,431.085,393.057,407.432
76400009,76405094,10,2,2007,1,7640002,7640002,425.839,404.343,361.1
76400009,76405242,10,9,2006,1,7640001,7640002,411.41,415.073,462.082
76400009,76405380,10,10,2006,2,7640002,7640002,339.587,319.594,438.806
76400009,76405482,11,11,2006,1,7640002,7640002,387.824,419.151,369.336
76400009,76405723,10,8,2006,1,7640001,7640002,363.105,328.447,366.658
76400009,76405793,10,11,2006,2,7640001,7640002,509.926,419.889,437.278
76400009,76406299,9,5,2007,1,7640001,7640002,459.107,414.429,399.02
76400009,76406582,10,9,2006,1,7640001,7640001,358.296,420.079,287.693
76400009,76406646,11,7,2006,2,7640001,7640002,482.944,516.401,511.564
76400009,76406753,10,11,2006,2,7640001,7640002,467.806,451.7,491.086
76400009,76407333,10,3,2007,1,7640002,7640002,437.982,464.392,425.017
76400009,76407548,10,4,2007,2,7640001,7640002,360.538,333.016,415.343
76400009,76407745,10,12,2006,1,7640002,7640002,468.953,441.812,507.94
